Nº Tombo,Autor,Título,Periódico,Assunto,Editora,Data,Local,Edição,Suporte," Volume, Número ",Pági-nas,Observação,
AB0735,,,Estudos Avançados,,IEA-USP,set.-dez./1988,São Paulo - SP,,Revista,"v.2, n.3",118p.,,
AB0736,,,Estudos Avançados,,IEA-USP,set.-dez./1989,São Paulo - SP,,Revista,"v.3, n.7",205p.,,
AB0737,,,Estudos Avançados,Projeto Floram,IEA-USP,mai.-ago./1990,São Paulo - SP,,Revista,"v.4, n.9",301p.,,
AB0738,,,Novos Estudos,,CEBRAP,jul./1993,São Paulo - SP,,Revista,n.36,243p.,,
AB0739,,,Revista USP,Revolução Francesa - Dossiê,USP,mar.-mai./1989,São Paulo - SP,,Revista,n.1,131p.,,
AB0740,,,Memória ,,DPH/Eletro-paulo,1995,São Paulo - SP,,Revista,n.21,80p.,,
AB0741,,,Memória ,,DPH/Eletro-paulo,1995,São Paulo - SP,,Revista,n.22,78p.,,
AB0742,,,Memória ,,DPH/Eletro-paulo,jan.-mar./1989,São Paulo - SP,,Revista,"ano 2, n.2 ",46p.,,
AB0743,,,Memória ,,DPH/Eletro-paulo,abr.-jun./1989,São Paulo - SP,,Revista,"ano 2, n.3",42p.,,
AB0744,,,Memória ,,DPH/Eletro-paulo,jul.set./1989,São Paulo - SP,,Revista,"ano 2, n.4",54p.,Acompanha 1 exemplar.,
AB0745,,,Memória ,,DPH/Eletro-paulo,out.-dez./1989,São Paulo - SP,,Revista,"ano 2, n.5",50p.,Acompanha 1 exemplar.,
AB0746,,,Memória ,,DPH/Eletro-paulo,abr.-jun./1993,São Paulo - SP,,Revista,"ano 5, n.18",66p.,,
AB0747,,,Memória ,,DPH/Eletro-paulo,jul.-dez./1993,São Paulo - SP,,Revista,"ano 5, n.19",90p.,,
AB0748,,,História & Energia,,DPH/Eletro-paulo,mai./1986,São Paulo - SP,,Revista,n.1,61p.,,
AB0749,,,História & Energia,,DPH/Eletro-paulo,nov./1986,São Paulo - SP,,Revista,n.3,97p.,,
AB0750,,,Boletim Histórico,,DPH/Eletro-paulo,out./1985,São Paulo - SP,,Boletim,n.4,16p.,,
AB0751,,,Boletim Histórico,,DPH/Eletro-paulo,jun./1986,São Paulo - SP,,Boletim,n.6,16p.,,
AB0752,,,Boletim Histórico,,DPH/Eletro-paulo,set./1986,São Paulo - SP,,Boletim,n.7,16p.,,
AB0753,,,Boletim Histórico,,DPH/Eletro-paulo,fev./1987,São Paulo - SP,,Boletim,n.8,16p.,,
AB0754,,,Boletim Histórico,,DPH/Eletro-paulo,mai./1987,São Paulo - SP,,Boletim,n.9,16p.,,
AB0755,,,Boletim Histórico,,DPH/Eletro-paulo,1988,São Paulo - SP,,Boletim,n.10,16p.,Consta mais 1 exemplar.,
AB0756,,,Isto é,,Encontro Editorial Ltda.,28/03/1979,São Paulo - SP,,Revista,"ano 3, n.118",106p.,,
AB0757,"FREDRIKSON, Erkki",500 años de Finlandia en los mapas de Europa,,,"Museu da Finlândia Central (Jyväskylä), Ministério de Assuntos Financeiros",1993,São Paulo - SP,,[Catálogo],,32p.,,
AB0758,FFLCH-USP,"Relatório de Atividades. Órgãos Colegiados, Assistências de Direção, Comissões Estatuárias, Centros, Resumo Estatístico, Índice Remissivo.",,,Humanitas/ FFLCH-USP ,1998,São Paulo - SP,,Relatório,tomo 1 ,93p.,Consta mais 1 exemplar.,
AB0759,FFLCH-USP,Relatório de Atividades. Departamento de Antropologia,,,Humanitas/ FFLCH-USP ,1998,São Paulo - SP,,Relatório,tomo 2,40p.,Consta mais 1 exemplar.,
AB0760,FFLCH-USP,Relatório de Atividades. Departamento de Ciência Política,,,Humanitas/ FFLCH-USP ,1998,São Paulo - SP,,Relatório,tomo 3,51p.,Consta mais 1 exemplar.,
AB0761,FFLCH-USP,Relatório de Atividades. Departamento de Filosofia,,,Humanitas/ FFLCH-USP ,1998,São Paulo - SP,,Relatório,tomo 4,83p.,Consta mais 1 exemplar.,
AB0762,FFLCH-USP,Relatório de Atividades. Departamento de Geografia,,,Humanitas/ FFLCH-USP ,1998,São Paulo - SP,,Relatório,tomo 5,56p.,Consta mais 1 exemplar.,
AB0763,FFLCH-USP,Relatório de Atividades. Departamento de História,,,Humanitas/ FFLCH-USP ,1998,São Paulo - SP,,Relatório,tomo 6,93p.,Consta mais 1 exemplar.,
AB0764,FFLCH-USP,Relatório de Atividades. Departamento de Lingüística,,,Humanitas/ FFLCH-USP ,1998,São Paulo - SP,,Relatório,tomo 7,40p.,Acompanha 2 exemplares.,
AB0765,FFLCH-USP,Relatório de Atividades. Departamento de Letras Clássicas e Vernáculas,,,Humanitas/ FFLCH-USP ,1998,São Paulo - SP,,Relatório,tomo 8,171p.,,
AB0766,FFLCH-USP,Relatório de Atividades. Departamento de Letras Modernas,,,Humanitas/ FFLCH-USP ,1998,São Paulo - SP,,Relatório,tomo 9,122p.,Acompanha 1 exemplar.,
AB0767,FFLCH-USP,Relatório de Atividades. Departamento de Línguas Orientais,,,Humanitas/ FFLCH-USP ,1998,São Paulo - SP,,Relatório,tomo 10,67p.,Acompanha 1 exemplar.,
AB0768,FFLCH-USP,Relatório de Atividades. Departamento de Sociologia,,,Humanitas/ FFLCH-USP ,1998,São Paulo - SP,,Relatório,tomo 11,61p.,Acompanha 1 exemplar.,
AB0769,FFLCH-USP,Relatório de Atividades. Departamento de Teoria Literária e Literatura Comparada,,,Humanitas/ FFLCH-USP ,1998,São Paulo - SP,,Relatório,tomo 12,38p.,Acompanha 1 exemplar.,
AB0770,"WILBERT, Johannes",Textos folkloricos de los indios warao,,,Latin American Center - University of California,1969,Los Angeles - EUA,,Livro,,244p.,"Latin American Studies, v.12.",
AB0771,,,San Marcos. Revista de Cultura General de la Universidad Nacional de San Marcos,,Instituto de Periodismo - Universidad Nacional Mayor de San Marcos,jul.-set./1948,Lima - Peru,,Revista,"ano 2, n.5",159p.,,
AB0772,,,La Universidad. Revista Bimestral de la Universidad de El Salvador,,Editorial Universitaria,set.-out./1965,San Salvador - El Salvador,,Revista,"ano 40, n.5",159p.,,
AB0773,,,La Universidad. Revista Bimestral de la Universidad de El Salvador,,Editorial Universitaria,nov.-dez./1965,San Salvador - El Salvador,,Revista,"ano 40, n.6",233p.,,
AB0774,,,La Universidad. Revista Bimestral de la Universidad de El Salvador,,Editorial Universitaria,jan.fev./ 1966,San Salvador - El Salvador,,Revista,"ano 41, n.1",109p.,,
AB0775,,,La Universidad. Revista Bimestral de la Universidad de El Salvador,,Editorial Universitaria,mar.-abr./1966,San Salvador - El Salvador,,Revista,"ano 41, n.2",121p.,,
AB0776,,,Sumario Actual de Revistas,,Biblioteca Hispánica - Instituto de Cultura Hispanica,jan./1973,Madrid - Espanha,,Sumário,n.1,130p.,,
AB0777,"LETONA, Francisco Peccorini",La voluntad del pueblo en la emancipación de El Salvador. Un estudio sobre las relaciones del pueblo com los proceres en la independencia y en la anexion a Mexico,,,"Direccion de publicaciones, Direccion de Cultura -  Ministerio de Educacion",1972,San Salvador - El Salvador,,Livro,,131p.,,
AB0778,,Universidad Veracruzana. Catálogo de Livros ,,,Universidad Veracruzana,1967,Xalapa - México,,Catálogo,,52p.,,
AB0779,"STANISLAWSKI, Dan",The tranformation of Nicaragua: 1519-1548,,,University of California Press,1983,Berkeley/ Los Angeles - EUA,,Livro,,150p.,"Ibero Americana, v.54.",
AB0780,,,World Affairs Report,,The California Institute of International Studies ,mar./1975,Stanford - EUA,,Revista,"v.5, n.1",104p.,,
AB0781,,,Revista de História de América. Indice General 1938-1962,Índice Geral (1938-1962),Instituto Panamericano de Geografia e Historia,1967,México,,Índice,,219p.,,
AB0782,,,Revista de História de América,,Instituto Panamericano de Geografia e Historia,jan.-dez./1966,México,,Revista,n.61-2,566p.,,
AB0783,,,Revista de História de América,,Instituto Panamericano de Geografia e Historia,jan.-dez./1967,México,,Revista,n.63-4,376p.,,
AB0784,,,Revista de História de América,,Instituto Panamericano de Geografia e Historia,jan.-dez./1968,México,,Revista,n.65-6,348p.,,
AB0785,,,Revista de História de América,,Instituto Panamericano de Geografia e Historia,jun./1950,México,,Revista,n.29,327p.,,
AB0786,,,Revista de História de América,,Instituto Panamericano de Geografia e Historia,dez./1950,México,,Revista,n.30,649p.,,
AB0787,,,Indice de la Revista de História de América,,Instituto Panamericano de Geografia e Historia,jun.-dez./1959,México,,Índice,n.47-8,p.757-799,,
AB0788,,,Revista de História de América,,Instituto Panamericano de Geografia e Historia,jun./1960,México,,Revista,n.49,314p.,,
AB0789,,,Revista de História de América,,Instituto Panamericano de Geografia e Historia,jun./1961,México,,Revista,n.51,371p.,,
AB0790,,,Revista de História de América,,Instituto Panamericano de Geografia e Historia,jan.-set./1963,México,,Revista,n.55-6,367p.,,
AB0791,,,Revista de História de América,,Instituto Panamericano de Geografia e Historia,jan.-dez./1964,México,,Revista,n.57-8,402p.,,
AB0792,,,Revista de História de América,,Instituto Panamericano de Geografia e Historia,jan.-jun./1965,México,,Revista,n.59,424p.,,
AB0793,,,Revista de História de América,,Instituto Panamericano de Geografia e Historia,jul.-dez./1965,México,,Revista,n.60,332p.,,
AB0794,,,Revista de História de América,,Instituto Panamericano de Geografia e Historia,jan.-dez./1969,México,,Revista,n.67-8,455p.,,
AB0795,,,Revista de História de América,,Instituto Panamericano de Geografia e Historia,jul.-dez./1970,México,,Revista,n.70,585p.,,
AB0796,,,Revista de História de América,,Instituto Panamericano de Geografia e Historia,jan.-jun./1971,México,,Revista,n.71,258p.,,
AB0797,,,Revista Historica,,Museo Histórico Nacional,dez./1962,Montevidéu-Uruguai,,Revista,n.97-9,950p.,,
AB0798,"RUDDLE, Kenneth",The yukpa cultivation system. A study of shifting cultivation in Colombia and Venezuela.,,,University of California Press,1974,Berkeley/ Los Angeles - EUA,,Livro,,197p.,"Ibero Americana, v.52.",
AB0799,"HILTON, Ronald",The scientific institutions of Latin America,,,California Institute of International Studies,1970,Stanford - EUA,,Catálogo,,748p.,,
AB0800,"SILVA, José Bonifácio de Andrada e ",Obras científicas e políticas de José Bonifácio de Andrada e Silva ,,"SILVA, José Bonifácio de Andrada e  (Obras)",,1963,s.l.,,Livro - Coletânea,v.1,568p.,Coligidas e reproduzidas por Edgard de Cerqueira Falcão.,
AB0801,"SILVA, José Bonifácio de Andrada e ",Obras científicas e políticas de José Bonifácio de Andrada e Silva ,,"SILVA, José Bonifácio de Andrada e  (Obras)",,1963,s.l.,,Livro - Coletânea,v.2,448p.,Coligidas e reproduzidas por Edgard de Cerqueira Falcão.,
AB0802,"SILVA, José Bonifácio de Andrada e ",Obras científicas e políticas de José Bonifácio de Andrada e Silva ,,"SILVA, José Bonifácio de Andrada e  (Obras)",,1963,s.l.,,Livro - Coletânea,v.3,463p.,Coligidas e reproduzidas por Edgard de Cerqueira Falcão.,
AB0803,,Bibliografia de José de Bonifácio,Boletim da Biblioteca da Câmara dos Deputados,"SILVA, José Bonifácio de Andrada e  (Bibliografia)",Biblioteca da Câmara dos Deputados,jan.-jun./1963,Brasília - DF,,Separata,"v.1, n,12",p.170-215,,
AB0804,"VESENTINI, Carlos Alberto",A teia do fato. Uma proposta de estudo sobre a Memória Histórica,,,FFLCH-USP,1982,São Paulo - SP,,Tese de doutora-mento,,313p.,"Exemplar de Maria Helena Chauí, com comentários [manuscritos] de Carlos Albertos Vesentini, doado por Francisco Murari Pires em 14/08/1995.",
AB0805,"NAYLOR, Robert A",Influencia británica em el comercio centroamericano durante las primeras décadas de la Indepencia (1821-1851),,,Centro de Investiga-ciones Regionales de Mesoamérica/Plumstock Mesoamerican Studies.,1988,Antigua - Guatemala/ Vermont - EUA,,Livro,,314p.,,
AB0806,"GERULEWICZ, Marisa Vannini de ",Serie Bibliografica: Pedro Beroes,,,Escuela de Biblioteconomia y Archivos. Facultad de Humanida-des y Educacion. Universidad Central de Venezuela.,1967,Caracas - Venezuela,,Livro,v.4,78p.,,
AB0807,"SOTILLO, Dolores Bonet de ",Serie Bibliografica: Ramon Diaz Sanchez,,,Escuela de Biblioteconomia y Archivos. Facultad de Humanida-des y Educacion. Universidad Central de Venezuela.,1967,Caracas - Venezuela,,Livro,v.5,71p.,,
AB0808,"CORTES, Santos Rodulfo",Serie Bibliografica: Marco Aurelio Vila,,,Escuela de Biblioteconomia y Archivos. Facultad de Humanida-des y Educacion. Universidad Central de Venezuela.,1967,Caracas - Venezuela,,Livro,v.6,38p.,,
AB0809,,,Tareas,,,jun.-nov./1973,Panamá,,Revista,n.26,160p.,,
AB0810,,,Tareas,,,dez./1973-mai./1974,Panamá,,Revista,n.27,132p.,,
AB0811,,,Tareas,,,jan.-abr./1975,Panamá,,Revista,n.30,120p.,,
AB0812,,,Sumario Actual de Revistas,,Biblioteca del Instituto de Cultura Hispanica. Instituto Bibliografico Hispanico,mar.-abr./1973,Madrid - Espanha,,Sumário,n.2,124p.,,
AB0813,,Sección Venezolana del Archivo de la Gran Colombia. Indice Sucinto ,,,Fundacion John Boulton,1970,Caracas - Venezuela,,Índice,,148p.,,
AB0814,,,Theses in Latin American Studies at British Universities in progress and completed,,Institute of Latin American Studies - University of London,1969-1970,Londres-Inglaterra,,Índice,n.4,,,
AB0815,,,Theses in Latin American Studies at British Universities in progress and completed,,Institute of Latin American Studies - University of London,1970-1971,Londres-Inglaterra,,Índice,n.5,,,
AB0816,,,Boletin del Archivo General de La Nacion,Arquivologia; documentos; documentos (outros arquivos); miscelânea; bibliografias; correspon-dência; índices; publicações recebidas.,Archivo General de La Nacion,jan.-jun./1973,Venezuela,,Boletim,"Tomo 63, n.224",251p.,,
AB0817,,,Boletin del Archivo General de La Nacion,Arquivologia; documentos; documentos (outros arquivos); miscelânea; bibliografias; correspon-dência; índices; publicações recebidas.,Archivo General de La Nacion,jul.-dez./1973,Venezuela,,Boletim,"Tomo 63, n.225",p.261-507,,
AB0818,"FIGUEIRÔA, S. de M.; LOPES, M. (orgs.) ","Geological Sciences in Latin America: Scientific Relations and Exchanges. Papers presented at the 18th Symposium of the International Commission on the History of Geological Sciences - INHIGEO (Campinas (Brazil), July 19-25, 1993",,Geociências - História; Ciência - História; Ciência - América Latina ; América Latina - História; Minas e recursos minerais - História. ,Unicamp,1994,Campinas - SP,,Anais,,402p.,,
AB0819,"BURNS, E. Bradford",A working bibliography for the study of brazilian history,The Americas,,Academy of American Franciscan History,jul./1965,Washington-EUA,,Separata,"v.22, n.1",p.55-88,Acompanha 1 exemplar.,
AB0820,"BURNS, E. Bradford",The recognition of Panama by the major Latin American States ,The Americas,,Academy of American Franciscan History,jul./1969,Washington-EUA,,Separata,"v.26, n.1",p.3-14,,
AB0821,,Álbum Comemorativo do 75o. Aniversário da Colonização Italiana no Rio Grande do Sul ,,,Revista do Globo S.A,1950,Porto Alegre - RS,,Álbum,,523p.,,
AB0822,"STEICHEN, E. (ed.)",Sandburg. Photographers View Carl Sandburg,,,"Harcourt, Brace & World Inc.",1966,Nova Iorque - EUA,,Livro,,113p.,,
AB0823,,,Nossa América,,Fundação Memorial da América Latina/ Aquarela,nov.-dez./1991,São Paulo - SP,,Revista,n.4,96p.,,
AB0824,,,Nossa América,,Fundação Memorial da América Latina/ Imesp,jan.-fev./1992,São Paulo - SP,,Revista,n.5,120p.,,
AB0825,,,Nossa América,,Fundação Memorial da América Latina/ Imesp,mar.-abr./1992,São Paulo - SP,,Revista,n.6,122p.,,
AB0826,,,Nossa América,,Fundação Memorial da América Latina/ Imesp,1992,São Paulo - SP,,Revista,n.7,122p.,,
AB0827,,,Nossa América,,Fundação Memorial da América Latina/ Imesp,jul.-set./1993,São Paulo - SP,,Revista,n.2,98p.,,
AB0828,"WARREN JR., Donald",Notes on the historical origins of Umbanda,Universitas,Umbanda - história; umbanda,,mai.-dez./1970,Salvador - BA,,Separata,n.6-7,163p.,Material produzido e enviado por um pesquisador brasilianista. ,
AB0829,"WARREN JR., Donald",Portuguese Roots of Brazilian Spiritism,Luso Brazilian Review,Espiritismo - história (Brasil); História do Brasil; espiritismo.,University of Wisconsin Press,1968,Wisconsin - EUA,,Separata,"v.5, n.2",32p.,Material produzido e enviado por um pesquisador brasilianista. ,
AB0830,"WARREN JR., Donald",Spiritism in Brazil,Journal of Inter-American Studies,Espiritismo (Brasil); espiritismo.,University of Miami Press,jul./1968,Miami - EUA,,Artigo,"v.10, n.3",p.393-405,Cóp.xerox. Material produzido e enviado por um pesquisador brasilianista. ,
AB0831,"WARREN JR., Donald",The negro religion in Brazil,Race. The Journal of the Institute of Race Relations,Religião negra - Brasil; ,Institute of Race Relations,jan./1965,Londres-Inglaterra,,Revista,"v.6, n.3",p.177-261,Material produzido e enviado por um pesquisador brasilianista. ,
AB0832,"WOODWARD JR., Ralph Lee",Curriculum Vitae,,,,[1985],Nova Oraleans - EUA,,Currículo ,,10p.,Material produzido e enviado por um pesquisador brasilianista. ,
AB0833,"SMITH, Robert Freeman",Curriculum Vitae,,,,[1986],[Toledo - Espanha],,Currículo ,,5p.,Material produzido e enviado por um pesquisador brasilianista. ,
AB0834,"WILSON, Larman C.",A prática e o status da intervenção e da não intervenção no direito internacional contemporâneo,Revista Informação Legislativa ,,,jul.-set./1983,Brasília - DF,,Artigo,"ano 20, n.79",p.239-258,Material produzido e enviado por um pesquisador brasilianista. ,
AB0835,"WILSON, Larman C.",The nicaraguan insurrection and the delegitimization of Somoza intervention and the role of the OAS and us,,Nicarágua - insurreição; Nicarágua - história,University Press of America ,1984,EUA,,Capítulo de livro,,p.387-428,"Capítulo do livro: HAN, H. H. (ed.) Terrorism, Political Violence and World Order. University Press of America, 1984. Material produzido e enviado por um pesquisador brasilianista. Cóp. xerox.",
AB0836,"WILSON, Larman C.","The impact of the Falkland/ Malvinas conflict upon the Inter-American System, OAS and Rio Treaty: a selected and annoted bibliography.",Anuário Jurídico Interamericano,,Consultoría Jurídica de la Secretaría General. OAS,1983,s.l.,,Anuário,,p.295-343,Cóp. Xerox. Material produzido e enviado por um pesquisador brasilianista.,
AB0837,"TULCHIN, Joseph S.","Student Reform: Córdoba, 1918",The Yale Review. A National Quartely.,Reforma universitária (Argentina); movimento estudantil (Argentina); ,Yale University Press,1972,Yale - EUA,,separata,,p.575-590,Material produzido e enviado por um pesquisador brasilianista. ,
AB0838,"TULCHIN, Joseph S.",Latin American Troubles,New Books in Review,"América Latina - problemas; América Latina - economia; América Latina - progresso; América Latina - nacionalismo; WHITAKER, A P.; JORDAN, D. C.; ALBA, Victor.",,s.d.,s.l.,,resenha,,p.144-148,"Resennha dos livros: DELL, Sidney. A Latin American Common Market. Oxford University Press. WHITAKER, A P.; JORDAN, D. C. Nationalism in contemporary Latin America. The Free Press; ALBA, V. Alliance without alies: the mithology of progress in Latin America. Frederick A Praeger. Material produzido e enviado por um pesquisador brasilianista.",
